Fold_no,Sentence_ID,Sentence
4,IEPA.d33.s73,"METHODS: The effects of OT on IP3 formation and OT receptor levels were determined in the myometria of non-pregnant rabbits, Days 26, 28 and 30 of pregnancy rabbits, postpartum rabbits within 12 hours and steroid-treated ovariectomized rabbits"
4,IEPA.d33.s74,"RESULTS: OT receptors were not detectable in the myometria of non-pregnant rabbits, and OT had no effect on the formation of inositol phosphates (IPs)"
4,IEPA.d33.s75,"On Day 28 of pregnancy, OT receptors became detectable, and then OT could induce the formation of IPs"
4,IEPA.d33.s76,"Thereafter, the stimulatory effects of OT on IPs formation and the OT receptor levels dramatically increased toward the end of pregnancy and reduced rapidly after parturition"
4,IEPA.d33.s77,"When the ovariectomized pregnant rabbits were treated with estrogen, OT receptors in the myometrium were induced, and OT acquired the ability to stimulate IP3 formation"
4,IEPA.d33.s78,"In addition, an OT receptor antagonist inhibited the stimulatory effects of OT on IP3 formation"
4,IEPA.d33.s79,"CONCLUSIONS: These results suggest that the formation of IPs by OT, the OT receptor levels in the myometrium, and the production of PGF2 in the decidua might play crucial roles in parturition"
4,IEPA.d70.s171,Inhibition of 5-HT3 serotonergic receptors with ondansetron (4 or 8 mg) did not modify the basal secretion of AVP and OT and the OT response to insulin-induced hypoglycemia
4,IEPA.d80.s190,"To explore the possible roles of the hypothalamic melanocortin system in leptin action, we examined the effects of intracerebroventricular (i.c.v.) injection of leptin with or without SHU9119, a potent antagonist of alpha-melanocyte stimulating hormone, on food intake, body weight, and mitochondrial uncoupling protein-1 (UCP-1) mRNA expression in the brown adipose tissue (BAT) in rats"
4,IEPA.d80.s191,"A single i.c.v. injection of leptin decreased cumulative food intake and body weight gain, and increased UCP-1 mRNA expression during 3 h at the onset of the dark phase"
4,IEPA.d80.s192,Co-injection of SHU9119 also inhibited completely the leptin-induced increase in UCP-1 mRNA expression in the BAT
4,IEPA.d81.s193,"It has been established that amyloid beta peptide (AbetaP) activates phospholipase A2, phospholipase C and phospholipase D of LA-N-2 cells and other cell types"
4,IEPA.d81.s194,(-)Nicotine did not blunt the AbetaP activation of phospholipase C
4,IEPA.d97.s234,"The specific protein kinase C (PKC) inhibitor chelerythrine (5 micrometers) inhibited PTH-, AVP-, PGE2-, and adenosine-stimulated Ca2+ reabsorption by 77%, 67%, 79%, and 100%, respectively"
4,IEPA.d97.s235,"CONCLUSION: PTH, AVP, PGE2, and adenosine stimulate Ca2+ reabsorption via a pathway that is independent of cAMP and that involves a phorbol ester-insensitive PKC isotype"
4,IEPA.d113.s272,"The experiments were concluded by taking blood samples for later analysis of plasma glucose and plasma levels of the following hormones: insulin, gastrin, CCK, glucagon, somatostatin, oxytocin and corticosterone"
4,IEPA.d113.s273,"The low-performing Stock B animals were characterized by [1] being more reactive to sensory stimulation: higher startle amplitude and shorter startle latency; [2] having higher plasma insulin and corticosterone levels, whereas plasma gastrin and oxytocin were significantly lowered and a strong tendency for a decrease also in plasma CCK"
4,IEPA.d126.s299,"The expression of uterine UCP2 and UCP3 were up-regulated by 3.2- and 1.5-fold, respectively, during the late stage of pregnancy with an increase of WAT leptin mRNA expression and exogenous administration of leptin resulted in induction of the uterine UCP2 and UCP3 levels"
4,IEPA.d126.s300,"These results indicate that UCP gene expressions during pregnancy are regulated tissue-dependently, and up-regulation of uterine UCP2 and UCP3 mRNA may be due to increased leptin levels"
4,IEPA.d140.s335,Arginine vasopressin (AVP) and lysophosphatidic acid (LPA) have been shown to stimulate protein kinase C (PKC) and mitogen-activated protein (MAP) kinases and the proliferation of vascular smooth muscle cells
4,IEPA.d140.s336,"However, AVP-induced activation of RSK2, a downstream substrate of ERK1 and ERK2, was PKC-dependent and PI 3-kinase-independent"
4,IEPA.d140.s337,PKC was necessary in AVP- but not in LPA-induced activation of p70 S6K
4,IEPA.d143.s343,Oxytocin central injections to intact animals stimulated insulin synthesis and secretion without changing of islets area
4,IEPA.d143.s344,"Thus, oxytocin administration stimulates insulin synthesis and secretion in intact and diabetic animals and this effect is more expressed with central injections"
4,IEPA.d162.s390,"We previously reported that adiposity and serum leptin levels increase with age in male F-344xBN rats and that when physiological levels of serum leptin are manipulated by fasting, there is a corresponding reciprocal change in hypothalamic neuropeptide Y (NPY) mRNA in young rats, but there are no changes in older rats"
4,IEPA.d162.s391,These findings suggest that the regulation of hypothalamic NPY mRNA by leptin may be impaired with age
4,IEPA.d162.s392,"We examined daily food consumption, body weight, whole-body oxygen consumption, serum leptin, and NPY mRNA in the hypothalamus"
4,IEPA.d162.s393,"Leptin infusion diminished hypothalamic NPY levels by nearly 50% compared with pair-fed young rats, whereas there were no changes in the hypothalamic NPY mRNA levels in senescent rats"
4,IEPA.d162.s394,These diminished responses to leptin were associated with and may be the result of an impaired suppression of hypothalamic NPY mRNA levels
4,IEPA.d166.s402,The protein kinase C specific inhibitor Go-6983 further enhanced the inhibitory effect of VACM-1 on AVP-stimulated cAMP production
4,IEPA.d168.s404,Involvement of thyroid hormones in the effect of intracerebroventricular leptin infusion on uncoupling protein-3 expression in rat muscle
4,IEPA.d168.s405,"A reduction of food intake imposed on control rats (pair-feeding), aimed at mimicking leptin-induced hyperphagia, produced a marked decrease in the expression of muscle uncoupling protein-3 (UCP-3), whereas ICV infusion of leptin prevented such a decrease in UCP-3"
4,IEPA.d168.s406,"To further substantiate an involvement of thyroid hormones in the effect of leptin on muscle UCP-3 expression, hypothyroid rats were ICV infused with leptin or vehicle"
4,IEPA.d168.s407,"It was observed that in hypothyroid rats, ICV leptin was unable to maintain muscle UCP-3 expression at values measured in ad libitum fed controls"
4,IEPA.d168.s408,"These results suggest that central leptin stimulates T3 production via an activation of T4 to T3 conversion, and that this stimulation could be responsible for the effect of leptin on muscle UCP-3 expression"
4,IEPA.d182.s436,"The effect of leptin in adult rats appears to be exerted at hypothalamic level by regulating growth hormone releasing hormone (GHRH), somatostatin and neuropeptide Y (NPY)-producing neurones"
4,IEPA.d186.s444,"Insulin secretion, inositol phosphate levels, and phospholipase C isozymes in rodent pancreatic islets"
4,IEPA.d186.s445,These findings are consistent with the concept that the underexpression of the nutrient-activated PLC isozyme may account for the minimal inositol phosphate (IP) and second-phase insulin secretory response from mouse islets
4,IEPA.d187.s446,Gibbestatin B inhibits the GA-induced expression of alpha-amylase expression in cereal seeds [In Process Citation]
4,IEPA.d187.s447,The expression of alpha-amylase in aleurone layers of barley is known to be induced by gibberellin A3 (GA).
4,IEPA.d187.s448,"In the present study, gibbestatin B (GNB) was isolated from Streptomyces sp. C-39 as an inhibitor of the GA-induced expression of alpha-amylase in barley and rice, with IC50 values of 125 and 70 microM, respectively."
4,IEPA.d187.s449,GNB suppressed accumulation of GA-induced barley high-pI type B and rice RAmylA alpha-amylase transcripts.
4,IEPA.d187.s450,"These analyses indicate that GNB inhibits the GA-induced expression of alpha-amylase by regulating one of the steps involved in ABA signaling, but not by acting as a weak ABA analog."
4,IEPA.d194.s465,Insulin-induced phospholipase D1 and phospholipase D2 activity in human embryonic kidney-293 cells mediated by the phospholipase Cgamma and protein kinase Calpha signalling cascade.
4,IEPA.d194.s466,"Co-expression of PLD1 with phospholipase C (PLC)gamma has the same effect, while co-expression of PLD2 with PLCgamma allows PLD2 activity to be stimulated in an insulin-dependent manner."
4,IEPA.d194.s467,"The PKC-specific inhibitors bisindolylmaleimide and Go 6976 abolish insulin-induced PLD2 activation in HEK-293 cells co-expressing the insulin receptor, PLCgamma and PLD2, confirming that not only PLD1, but PLD2 as well, is regulated in a PKC-dependent manner."
4,IEPA.d194.s468,"In summary, we demonstrate that insulin treatment results in activation of both PLD1 and PLD2 in appropriate cell types when the appropriate upstream intermediate signalling components, i.e. PKCalpha and PLCgamma, are expressed at sufficient levels."
4,IEPA.d49.s126,"Leptin upregulates the expression of uncoupling protein-2 (UCP-2) mRNA in islets of normal rats, but has no effect in islets of obese Zucker Diabetic Fatty (ZDF) rats with mutated leptin receptors"
4,IEPA.d115.s277,Overexpression of G11alpha and isoforms of phospholipase C in islet  beta-cells reveals a lack of correlation between inositol phosphate  accumulation and insulin secretion.
4,IEPA.d115.s278,It has been suggested that insulin secretion from pancreatic islets may be  mediated in part by activation of phospholipases C (PLCs) and  phosphoinositide hydrolysis.
4,IEPA.d115.s279,The purpose of this study was to determine  whether the relatively modest fuel-stimulated insulin secretion responses  of rodent beta-cell lines might be explained by inadequate expression or  activation of PLC isoforms.
4,IEPA.d115.s280,"Adenovirus-mediated overexpression of PLC-delta1, -beta1, or  -beta3 in INS-1 or betaG 40/110 cells results in little or no enhancement  in inositol phosphate (IP) accumulation and no improvement in insulin  secretion when the cells are stimulated with glucose or carbachol, despite  the fact that the overexpressed proteins are fully active in cell  extracts."
4,IEPA.d115.s281,"Overexpression of PLC-beta1 or -beta3 in normal rat islets  elicits a larger increase in IP accumulation but, again, has no effect on  insulin secretion."
4,IEPA.d115.s282,"Because the effect of carbachol on insulin secretion is  thought to be mediated through muscarinic receptors that link to the Gq/11  class of heterotrimeric G proteins, we also overexpressed G11alpha in  INS-1 cells, either alone or in concert with overexpression of PLC-beta1  or -beta3."
4,IEPA.d115.s283,"Overexpression of G11alpha enhances IP accumulation, an effect  slightly potentiated by co-overexpression of PLC-beta1 or -beta3, but  these maneuvers do not affect glucose or carbachol-stimulated insulin  secretion."
4,IEPA.d135.s323,"These results suggest that, in isolated white adipocytes, the released adenosine acts as a helper and/or a positive regulator for insulin in the release of leptin via an activation of adenosine A1 receptors that involves the PLC-PKC pathway."
5,IEPA.d17.s34,"The aim of this study was to investigate the effects of hCG, hCG plus oxytocin and oxytocin on [3H] inositol phosphate (IP) formations in porcine myometrial cells obtained from ovariectomized and cyclic gilts"
5,IEPA.d17.s35,"The highest production of total inositol phosphates (d.p.m.) was found in cells from ovariectomized gilts given in vivo estradiol benzoate and progesterone for five consecutive days and treated with 1000 mU hCG and 100 mU hCG plus 1 microM oxytocin (984 +/- 84 and 1063 +/- 131 vs 314 +/- 36, respectively)"
5,IEPA.d17.s36,"There was also a very significant increase of IP1 after the addition of 1000 mU hCG (p < 0.001) and IP1 and IP3 when 1000 mU hCG plus oxytocin were added (p < 0.001 and p < 0.01, respectively)"
5,IEPA.d17.s37,Only oxytocin alone increased the formation of IPs in cells from ovariectomized pigs treated with estradiol in vivo (p < 0.01)
5,IEPA.d17.s38,The highest dose of hCG plus The highest dose of hCG plus oxytocin provoked accumulation of total [3H]inositol phosphate (p < 0.05) 53% over the basal level on days 21/1 of the estrous cycle
5,IEPA.d17.s39,The present study demonstrates that hCG and oxytocin can increase the accumulation of inositol phosphates in porcine myometrial cells
5,IEPA.d28.s60,"In HVSMC both oxytocin and AVP increased inositol 1,4,5-trisphosphate (IP3) production and [Ca2+]i response, but the efficacy of the responses was greater for oxytocin than AVP"
5,IEPA.d32.s66,Gamma-aminobutyric acid mediation of the inhibitory effect of nitric oxide on the arginine vasopressin and oxytocin responses to insulin-induced hypoglycemia
5,IEPA.d32.s67,"Previous studies have demonstrated that the nitric oxide (NO) synthase inhibitor L-NAME exerts positive effects on the arginine vasopressin (AVP) and oxytocin (OT) responses to insulin-induced hypoglycemia, suggesting inhibitory actions of NO"
5,IEPA.d32.s68,"AVP and OT secretory patterns during insulin (0.15 IU/kg, i.v.)-tolerance tests (ITT) were examined in seven normal male subjects with (experimental tests) and without (control test) concomitant treatment with L-NAME (40 micrograms/kg injected plus 50 micrograms/kg infused, i.v.), the GABAergic agent sodium valproate (600 mg in three divided doses orally) or the combination of L-NAME and sodium valproate"
5,IEPA.d32.s69,Insulin-induced hypoglycemia increased by 2-fold (peak vs. baseline) plasma AVP and OT levels
5,IEPA.d32.s70,These data indicate a GABAergic mediation of the inhibitory modulation by NO of the AVP and OT responses to insulin-induced hypoglycemia
5,IEPA.d67.s167,Association of the insulin receptor with phospholipase C-gamma (PLCgamma) in 3T3-L1 adipocytes suggests a role for PLCgamma in metabolic signaling by insulin
5,IEPA.d67.s168,"To determine the functional significance of the interaction of PLCgamma and the IR, we used a specific inhibitor of PLC, U73122, or microinjection of SH2 domain glutathione S-transferase fusion proteins derived from PLCgamma to block insulin-stimulated GLUT4 translocation"
5,IEPA.d77.s185,"Although osmotic stimuli cause an increase in nitric oxide synthase (NOS) activity as well as synthesis of AVP and oxytocin in the paraventricular (PVN) and supraoptic nuclei (SON), it is not known whether NOS activity in the hypothalamus changes in the diabetic patients who have plasma hyperosmolality with hyperglycaemia caused by insulin deficiency"
5,IEPA.d77.s186,"Three weeks after administration of STZ, the diabetic rats were subcutaneously treated with insulin for 1 week, which resulted in significant suppression of the induction of nNOS, AVP and oxytocin gene expression in the PVN and SON"
5,IEPA.d96.s231,Downregulation of uncoupling protein 2 mRNA in white adipose tissue and uncoupling protein 3 mRNA in skeletal muscle during the early stages of leptin treatment
5,IEPA.d96.s232,Leptin by intravenous or intracerebroventricular infusion for 5 h was associated with a decrease in UCP-2 mRNA in WAT (47-52%) and UCP-3 mRNA in SM (33-37%)
5,IEPA.d96.s233,"Denervation suppressed mRNA levels for UCP-2 (49%), UCP-3 (36%), and COX-IV (59%) and eliminated the acute response to leptin in SM"
5,IEPA.d120.s288,"Furthermore, our 14C-acetate-labeling studies showed a 50% reduction in cholesteryl ester synthesis in the presence of either flavonoid, which could account for the reduction in net apoB secretion caused by incubation with these compounds"
5,IEPA.d132.s319,The effects of the fluorinated analogues were evaluated on inhibition of cress seed germination and inhibition of gibberellin-inducible alpha-amylase induction in embryoless barley half-seeds
5,IEPA.d132.s320,"(2E, 4E)-2-Fluoro-5-(1'-hydroxy-2',6', 6'-trimethyl-2'-cyclohexen-1'-yl)-3-methyl-2,4-pentadienoic acid (5b) showed potent inhibitory activity at the same level as ABA in the cress seed germination test, and 5b also inhibited gibberellin-inducible alpha-amylase induction at 4 x 10(-)(6), 3 times the concentration of ABA (1 x 10(-)(6)) for 50% inhibition of alpha-amylase production"
5,IEPA.d134.s322,"Isolation and characterization of gibbestatin B, an inhibitor of gibberellin-induced expression of alpha-amylase, and gibbestatin C from streptomycetaes"
5,IEPA.d139.s333,Leptin and UCP (1 and 2) mRNA levels were determined by reverse transcription-polymerase chain reaction (RT-PCR) methodology in adipose tissue and gastrocnemius muscle
5,IEPA.d139.s334,"A negative correlation between WAT O2 consumption and UCP2 expression was found in control animals, but not in the cafeteria-fed groups, suggesting a differential response to the beta3-adrenergic compound in lean and obese animals, which is in agreement with the reported statistical interactions between obesity and Trecadrine administration found for WAT O2 consumption and muscle UCP2 expression, as well as for plasma leptin and WAT leptin expression"
5,IEPA.d164.s396,"The aims of this study were: (1) to assess the effects of maternal undernutrition during pregnancy on adult offspring with regard to growth, body composition and plasma levels of glucose, insulin and corticosterone, and (2) to investigate whether oxytocin treatment early in life could ameliorate the adverse effects of food restriction in utero"
5,IEPA.d171.s415,"Phospholipase C (PLC) activity was investigated by stimulation of membrane preparations obtained from insulin (beta-TC3)-, somatostatin (Rin 1027-B2)-, and glucagon (INR1-G9)-producing pancreatic cell lines using the non-hydrolyzable GTP analogue GTPgammaS alone, the C-terminal octapeptide cholecystokinin (CCK-8), or gastrin"
5,IEPA.d172.s416,"Therefore, it was examined whether stimulation of Swiss 3T3 cells with insulin causes changes in the subcellular distribution of EGF receptors and phospholipase Cgamma1 that could potentially explain the observed synergy or costimulation."
5,IEPA.d172.s417,"However, both EGF and insulin stimulated the accumulation of phospholipase Cgamma1 at the actin arc, which was coincident with the EGF receptor in the case of insulin- stimulated cells."
5,IEPA.d172.s418,"Therefore, it is suggested that the insulin-induced coclustering of the EGF receptor with phospholipase Cgamma1 at the actin arc may allow for greater efficiency of signal transduction, resulting in the synergy observed for these two hormones in stimulation of DNA synthesis."
5,IEPA.d176.s425,"For example, leptin suppresses neuropeptide Y (NPY) expression in the arcuate nucleus"
5,IEPA.d183.s437,"Plasma insulin, cholecystokinin, galanin, neuropeptide Y and leptin levels in obese women with and without type 2 diabetes mellitus"
5,IEPA.d183.s438,"Experimental studies provided evidences that leptin, cholecystokinin (CCK), galanin (GAL), neuropeptide Y (NPY) and insulin are involved in feeding behaviour"
5,IEPA.d183.s439,"Plasma concentrations of FSH, leptin, CCK, GAL, NPY and insulin were determined using commercial RIA kits"
5,IEPA.d183.s440,"Our results, ie higher mean plasma NPY levels in postmenopausal diabetic women and positive correlation of CCK with leptin and insulin, may suggest the role of these neuropeptides in metabolic disorders leading to type 2 diabetes mellitus"
5,IEPA.d193.s464,"Finally, recent evidences suggest that melanocortins could be involved in mediating the effects of leptin, and in controlling the expression of neuropeptide Y (NPY)"
5,IEPA.d7.s13,"Hesperidin, the most important flavanone of Citrus sp., significantly increases HDL and lowers cholesterol, LDL, total lipid and triglyceride plasma levels in normolipidemic rats and in rats with diet- and triton-induced hyperlipidemia"
5,IEPA.d35.s86,"Oxytocin (OT) and vasopressin (AVP) stimulate insulin and glucagon release from the pancreas, and evoke insulin secretion from the rat insulinoma cell line, RINm5F"
5,IEPA.d47.s120,"Effects of oxytocin, arginine-vasopressin and lysine-vasopressin on insulin and glucagon secretion in sheep"
5,IEPA.d47.s121,"The effects of the posterior-pituitary peptides oxytocin (OT), arginine-vasopressin (AVP) and lysine-vasopressin (LVP) on insulin and glucagon secretion were examined in adult sheep"
5,IEPA.d47.s122,"The maximal insulin responses induced by OT and AVP were very similar, but the threshold and maximal doses of AVP for increasing plasma insulin were higher than those of OT"
5,IEPA.d56.s143,Interleukin-1 beta inhibits phospholipase C and insulin secretion at sites apart from KATP channel
5,IEPA.d56.s144,"Surprisingly, however, when islets were depolarized directly using either of two agonists, glyburide (which does not act via generation of purine nucleotides) or 40 mM K+ (which acts distal to KATP channel), PLC and insulin secretion were again obliterated by IL-1 beta"
5,IEPA.d56.s145,"These data (together with the finding that IL-1 beta inhibited Ca(2+)-induced insulin release) suggest that, in addition to its effects on ATP synthesis and thereby on the KATP channel, IL-1 beta has at least two undescribed, distal effects to block both PLC as well as Ca(2+)-induced exocytosis"
6,IEPA.d1.s1,"Phosphoinositide hydrolysis, resulting in inositol trisphosphate (IP3) and diacylglycerol (DG) formation, has been implicated in oxytocin-stimulated pulsatile secretion of prostaglandin F2 alpha (PGF2 alpha) from uterine endometrium of sheep and other mammals"
6,IEPA.d4.s5,The effects of prostaglandin F2 alpha (PGF2 alpha) on intracellular Ca2+ concentration ([Ca2+]i) and inositol phosphate (IP) generation in human myometrial cells were evaluated and compared to the effects of oxytocin
6,IEPA.d4.s6,"In contrast, the potencies of oxytocin to raise IP and [Ca2+]i were similar and independent of extracellular Ca2+, and could be suppressed by pertussis toxin and phorbol ester, but not by verapamil"
6,IEPA.d4.s7,"The action of PGF2 alpha depends on extracellular Ca2+, whereas oxytocin activates the G-protein-dependent phospholipase-C-IP3-Ca2+ signal-transducing pathway, complemented by the influx of extracellular Ca2+"
6,IEPA.d14.s31,This indicates that the calcium response to OT application was principally associated with activation of the IP3-sensitive calcium stores
6,IEPA.d39.s93,Homogeneous liposome immunoassay for insulin using phospholipase C from Clostridium perfringens
6,IEPA.d39.s94,"Insulin was conjugated to phospholipase C by a three-step procedure with hetero-bifunctional crosslinking reagents, succinimidyl 4-(N-maleimidomethyl)cyclohexane-1-carboxylate and 3-(2-pyridyldithio)propionic acid N-hydroxysuccinimide ester"
6,IEPA.d39.s95,Both p-nitrophenylphosphatidylcholine hydrolytic activity and liposome lytic activity of insulin-phospholipase C conjugate were inhibited in the presence of insulin antiserum
6,IEPA.d63.s160,"However, in brown fat, we observed a 2-3-fold increase in the expression of UCP1 in response to dietary fat challenge, which may be related to diet-induced elevations in plasma leptin levels"
6,IEPA.d79.s189,OT evokes the release of Ca2+ from IP3-sensitive intracellular stores
6,IEPA.d85.s204,A barley gene encoding a novel DNA-binding protein (HRT) was identified by southwestern screening with baits containing a gibberellin phytohormone response element from an alpha-amylase promoter
6,IEPA.d91.s215,Oxytocin-stimulated insulin release in a clonal beta-cell line RINm5F: involvement of phospholipase C-dependent and -independent pathways.
6,IEPA.d91.s216,CONCLUSION: Oxy increases insulin release through both PLC and non-PLC mediated signal transduction mechanisms.
6,IEPA.d91.s217,"In addition, U-73122 diminished the Oxy-induced increase in intracellular concentration of inositol 1, 4, 5-triphosphate (IP3)"
6,IEPA.d91.s218,"U-73122 at 8 mumol.L-1 totally abolished the Oxy-induced increases in [Ca2+]i and IP3; however it reduced the Oxy-induced increase in insulin release only by 36% and 63% in the monolayer and suspended cell preparations, respectively"
6,IEPA.d91.s219,Oxytocin-stimulated insulin release in a clonal beta-cell line RINm5F: involvement of phospholipase C-dependent and -independent pathways
6,IEPA.d91.s220,AIM: To study the mechanisms underlying oxytocin (Oxy)-induced insulin release
6,IEPA.d91.s221,RESULTS: Oxy increased insulin release and [Ca2+]i in a concentration-dependent manner
6,IEPA.d91.s222,Oxy-induced insulin release was not altered by pretreatment with pertussis toxin (PT)
6,IEPA.d91.s223,"U-73122 at 8 mumol.L-1 totally abolished the Oxy-induced increases in [Ca2+]i and IP3; however it reduced the Oxy-induced increase in insulin release only by 36% and 63% in the monolayer and suspended cell preparations, respectively"
6,IEPA.d91.s224,CONCLUSION: Oxy increases insulin release through both PLC and non-PLC mediated signal transduction mechanisms
6,IEPA.d92.s225,"In isolated adipocytes, the loss of almost half the 18S RNA content over a 24-hour incubation was prevented in the presence of insulin but not oxytocin or epidermal growth factor (EGF)"
6,IEPA.d93.s226,"Further investigation suggested that activation of protein kinase C (PKC), which is part of the AVP-induced intracellular signalling pathway, is necessary and sufficient for the generation of the synergistic response, although it is not obligatory for AVP-induced ACTH release"
6,IEPA.d104.s243,"In addition, abscisic acid-mediated inhibition of gibberellin-stimulated responses seems to depend on the activation of a phospholipase D during induction of alpha-amylase in barley aleurone cells as well as on a putative acetyltransferase involved in elongation growth."
6,IEPA.d122.s290,Effects of intravenously infused leptin on insulin sensitivity and on the expression of uncoupling proteins in brown adipose tissue
6,IEPA.d122.s291,Centrally administered leptin has been shown to increase insulin-stimulated glucose utilization and to favor the expression of uncoupling proteins (UCPs)
6,IEPA.d122.s292,"To study if leptin also has direct peripherally mediated effects on these processes, this hormone (1 mg/day) or its vehicle was infused i.v. for 4 days to lean rats and insulin-stimulated glucose utilization in skeletal muscle and adipose tissue as well as the expression of UCP messenger RNAs (mRNAs) in brown adipose tissue were measured"
6,IEPA.d122.s293,"I.v. leptin infusion also favored the expression of UCPs in brown adipose tissue, either by increasing their expression or preventing the fall occurring during the pair-feeding regimen."
6,IEPA.d122.s294,"Relative UCP expression levels were 100, 104, and 33 for UCP1, 100, 191, and 125 for UCP2 and 100, 107, and 29 for UCP3 in ad libitum fed control rats, in leptin-treated rats and in pair-fed control rats, respectively"
6,IEPA.d122.s295,These results suggest that the overall effect of leptin on glucose utilization and on the expression of UCPs may be mediated through central mechanism
6,IEPA.d148.s359,In vivo effects of CGP-12177 on the expression of leptin and uncoupling protein genes in mouse brown and white adipose tissues
6,IEPA.d148.s360,"OBJECTIVE: To assess the effect of chronic treatment with CGP-12177 a beta3-adrenergic receptor (AR) agonist with beta2/beta1-AR antagonist action, on the expression of the leptin gene and of genes coding for uncoupling proteins (ucp1, ucp2 and ucp3) in brown and white adipose tissues"
6,IEPA.d148.s361,"CONCLUSION: The results reveal that simultaneous stimulation of the expression of certain ucp genes and the leptin gene can be achieved, and suggest that adrenergic regulation of the leptin gene and of genes of the ucp family in adipose tissues is the result of complex interactions between the different beta-AR pathways"
6,IEPA.d155.s372,"However, neither progesterone nor insulin increased phosphotyrosine on PLCgamma"
6,IEPA.d158.s377,NPY-leptin: opposing effects on appetitive and consummatory ingestive behavior and sexual behavior
6,IEPA.d158.s378,Many studies have indicated that neuropeptide Y (NPY) stimulates and leptin inhibits food intake
6,IEPA.d158.s379,"In line with this, intracerebroventricular injection of NPY (10 microg) stimulated and leptin (10 microg) inhibited intake of a sucrose solution when female rats were required to obtain the solution from a bottle"
6,IEPA.d158.s380,"However, NPY inhibited and leptin stimulated intake if the solution was infused intraorally"
6,IEPA.d158.s381,"Thus NPY stimulates the responses used to obtain food but inhibits those used to consume food, and leptin has the opposite effects"
6,IEPA.d188.s451,"We also determined whether well known hypothalamic neuropeptide targets, e.g. neuropeptide Y (NPY), proopiomelanocortin (POMC), agouti-related peptide (AGRP) and cocaine and amphetamine-regulated transcript (CART) were regulated in a pattern consistent with their presumed roles as mediators of leptin action"
6,IEPA.d188.s452,"In contrast, leptin decreased body weight and adiposity, increased CART and suppressed NPY and AGRP mRNA expression in adult mice"
6,IEPA.d50.s127,"Insulin secretion is regulated by changes in blood glucose, as well as by peptides from the gastrointestinal tract and neurotransmitters that activate the pancreatic islet adenylyl cyclase (e.g., glucagon-like peptide-1) and phospholipase C (PLC) (e.g., acetylcholine) signaling pathways to further potentiate glucose-induced insulin secretion"
6,IEPA.d50.s128,"However, leptin did constrain the enhanced PLC-mediated insulin secretion characteristic of islets from ob/ob mice, without influencing release from islets of lean mice"
6,IEPA.d50.s129,"A specific enhancement in PLC-mediated insulin secretion is the earliest reported developmental alteration in insulin secretion from islets of ob/ob mice, and thus a logical target for leptin action"
6,IEPA.d50.s130,"This action of leptin on PLC-mediated insulin secretion was dose-dependent, rapid-onset (i.e., within 3 min), and reversible"
6,IEPA.d50.s131,"Leptin was equally effective in constraining the enhanced insulin release from islets of ob/ob mice caused by protein kinase C (PKC) activation, a downstream mediator of the PLC signal pathway"
6,IEPA.d50.s132,One function of leptin in control of body composition is thus to target a PKC-regulated component of the PLC-PKC signaling system within islets to prevent hypersecretion of insulin
6,IEPA.d103.s242,The bovine ovarian granulosa cell model is a primary culture system where under stimulation by insulin or IGF-I and LH the endogenous oxytocin gene is massively upregulated
6,IEPA.d123.s296,The activity of catalase was found to be significantly enhanced in the tissues of normal and cholesterol fed rats administered 1 mg flavonoid from brinjal/100 g BW/day
6,IEPA.d142.s341,"METHODS: We have therefore studied possible associations of the Gln27Glu and the Gly16Arg polymorphisms in the beta2AR with BMI, plasma leptin and UCP-1 mRNA expression in the intraperitoneal adipose tissue in a population of Caucasian women"
6,IEPA.d142.s342,"Furthermore, no association was found between the Gln27Glu or the Gly16Arg polymorphisms and plasma leptin or adipose tissue UCP-1 gene expression in either group"
7,IEPA.d11.s23,"Amyloid beta protein (25-35) stimulation of phospholipases A, C and D activities of LA-N-2 cells"
7,IEPA.d11.s24,"[3H]Inositol prelabeled LA-N-2 cells were exposed to varying concentrations of A beta P, from 20 to 125 micrograms/ml, and phospholipase C activation was measured"
7,IEPA.d11.s25,"The effects of adrenergic, metabotropic amino acid and bombesin antagonists on the A beta P mediated stimulation of phospholipase C activity was investigated"
7,IEPA.d11.s26,"Propranolol, a beta adrenergic antagonist, 7-chloro-kynurenic acid, a metabotropic amino acid antagonist, and [Tyr4-D-Phe12]bombesin, a bombesin antagonist, blunted the A beta P stimulation of phospholipase C activity in [3H]inositol prelabeled LA-N-2 cells"
7,IEPA.d11.s27,This suggests that amyloid beta protein activation of phospholipase C may be receptor mediated
7,IEPA.d11.s28,The phospholipase C inhibitor U 71322 prevented the activation of phospholipase C by A beta P
7,IEPA.d12.s29,These results suggest that APP-S secretion and A beta production in NT2N neurons are regulated by the muscarinic/phospholipase C signal transduction pathway
7,IEPA.d13.s30,"Current interest in reducing heart disease risks by diet involves attention to total fat; saturated, monounsaturated, polyunsaturated and trans fatty acids, as well as dietary cholesterol, soluble fiber, salt, alcohol, antioxidants, dietary alterations causing homocysteinemia and other dietary constituents, such as flavonoid compounds in some soy products"
7,IEPA.d21.s45,These data suggest that cAMP-dependent phosphorylation at a step involving GTP-binding protein/PLC coupling can exert a negative effect on the stimulation of IP3 formation by oxytocin and thereby affect contraction/relaxation in the myometrium
7,IEPA.d40.s96,Roles of GTP and phospholipase C in the potentiation of Ca(2+)-induced insulin secretion by glucose in rat pancreatic islets
